,node_number,drone_number,capacity_of_drones,arc_weight,result,type
607,100,25,480,10,-1,Not Cover
608,100,25,480,15,-1,Not Cover
609,100,25,480,20,-1,Not Cover
610,100,25,480,25,-1,Not Cover
611,100,25,480,30,-1,Not Cover
612,100,25,540,5,-1,Not Cover
613,100,25,540,10,-1,Not Cover
614,100,25,540,15,-1,Not Cover
615,100,25,540,20,-1,Not Cover
616,100,25,540,25,-1,Not Cover
617,100,25,540,30,-1,Not Cover
618,100,25,600,5,-1,Not Cover
619,100,25,600,10,-1,Not Cover
620,100,25,600,15,-1,Not Cover
621,100,25,600,20,-1,Not Cover
622,100,25,600,25,-1,Not Cover
623,100,25,600,30,-1,Not Cover
624,100,30,180,5,-1,Not Cover
625,100,30,180,10,-1,Not Cover
626,100,30,180,15,-1,Not Cover
627,100,30,180,20,-1,Not Cover
628,100,30,180,25,-1,Not Cover
629,100,30,180,30,-1,Not Cover
630,100,30,240,5,-1,Not Cover
631,100,30,240,10,-1,Not Cover
632,100,30,240,15,-1,Not Cover
633,100,30,240,20,-1,Not Cover
634,100,30,240,25,-1,Not Cover
635,100,30,240,30,-1,Not Cover
636,100,30,300,5,-1,Not Cover
637,100,30,300,10,-1,Not Cover
638,100,30,300,15,-1,Not Cover
639,100,30,300,20,-1,Not Cover
640,100,30,300,25,-1,Not Cover
641,100,30,300,30,-1,Not Cover
642,100,30,360,5,-1,Not Cover
643,100,30,360,10,-1,Not Cover
644,100,30,360,15,-1,Not Cover
645,100,30,360,20,-1,Not Cover
646,100,30,360,25,-1,Not Cover
647,100,30,360,30,-1,Not Cover
648,100,30,420,5,-1,Not Cover
649,100,30,420,10,-1,Not Cover
650,100,30,420,15,-1,Not Cover
651,100,30,420,20,-1,Not Cover
652,100,30,420,25,-1,Not Cover
653,100,30,420,30,-1,Not Cover
654,100,30,480,5,-1,Not Cover
655,100,30,480,10,-1,Not Cover
656,100,30,480,15,-1,Not Cover
657,100,30,480,20,-1,Not Cover
658,100,30,480,25,-1,Not Cover
659,100,30,480,30,-1,Not Cover
660,100,30,540,5,-1,Not Solved
661,100,30,540,10,-1,Not Cover
662,100,30,540,15,-1,Not Cover
663,100,30,540,20,-1,Not Cover
664,100,30,540,25,-1,Not Cover
665,100,30,540,30,-1,Not Cover
666,100,30,600,5,-1,Not Solved
667,100,30,600,10,-1,Not Cover
668,100,30,600,15,-1,Not Cover
669,100,30,600,20,-1,Not Cover
670,100,30,600,25,-1,Not Cover
671,100,30,600,30,-1,Not Cover
672,100,35,180,5,-1,Not Cover
673,100,35,180,10,-1,Not Cover
674,100,35,180,15,-1,Not Cover
675,100,35,180,20,-1,Not Cover
676,100,35,180,25,-1,Not Cover
677,100,35,180,30,-1,Not Cover
678,100,35,240,5,-1,Not Cover
679,100,35,240,10,-1,Not Cover
680,100,35,240,15,-1,Not Cover
681,100,35,240,20,-1,Not Cover
682,100,35,240,25,-1,Not Cover
683,100,35,240,30,-1,Not Cover
684,100,35,300,5,-1,Not Cover
685,100,35,300,10,-1,Not Cover
686,100,35,300,15,-1,Not Cover
687,100,35,300,20,-1,Not Cover
688,100,35,300,25,-1,Not Cover
689,100,35,300,30,-1,Not Cover
690,100,35,360,5,-1,Not Cover
691,100,35,360,10,-1,Not Cover
692,100,35,360,15,-1,Not Cover
693,100,35,360,20,-1,Not Cover
694,100,35,360,25,-1,Not Cover
695,100,35,360,30,-1,Not Cover
